,film_id,film_title,film_category,inventory_count,film_total_rental,film_total_rental_revenue,film_last_rental_date,avg_rental_duration,avg_revenue_per_rental,customer_id,full_name,country,city,total_amount_spent,total_rental,first_rental_date,recent_rental_date,rental_month,total_rental_revenue,unique_customers,category,time_gap
0,1,Academy Dinosaur,Documentary,7,21,33.79,2005-08-23 01:01:01,6.0,1.609047619047619,26,Jessica Hall,Holy See (Vatican City State),Citt del Vaticano,146.68,32,2005-06-15 18:53:14,2005-08-23 11:16:29,3,146.68,1,Documentary,68
1,1,Academy Dinosaur,Documentary,7,21,33.79,2005-08-23 01:01:01,6.0,1.609047619047619,257,Marsha Douglas,Mozambique,Beira,142.66,34,2005-06-19 03:08:51,2005-08-23 19:51:29,3,142.66,1,Documentary,65
2,1,Academy Dinosaur,Documentary,7,21,33.79,2005-08-23 01:01:01,6.0,1.609047619047619,125,Ethel Webb,South Africa,Boksburg,131.69,31,2005-06-15 21:17:58,2005-08-22 10:14:39,3,131.69,1,Documentary,67
3,1,Academy Dinosaur,Documentary,7,21,33.79,2005-08-23 01:01:01,6.0,1.609047619047619,502,Brett Cornwell,India,Siliguri (Shiliguri),130.7,30,2005-06-16 12:50:01,2005-08-23 22:06:34,3,130.7,1,Documentary,68
4,1,Academy Dinosaur,Documentary,7,21,33.79,2005-08-23 01:01:01,6.0,1.609047619047619,426,Bradley Motley,India,Purnea (Purnia),125.74,26,2005-06-16 14:10:15,2005-08-22 01:32:14,3,125.74,1,Documentary,66
5,1,Academy Dinosaur,Documentary,7,21,33.79,2005-08-23 01:01:01,6.0,1.609047619047619,354,Justin Ngo,Brazil,Santo Andr,125.67,33,2005-06-15 21:48:18,2006-02-14 15:16:03,4,125.67,1,Documentary,243
6,1,Academy Dinosaur,Documentary,7,21,33.79,2005-08-23 01:01:01,6.0,1.609047619047619,198,Elsie Kelley,Nigeria,Ikerre,124.68,32,2005-06-18 01:12:22,2005-08-23 00:27:18,3,124.68,1,Documentary,65
7,1,Academy Dinosaur,Documentary,7,21,33.79,2005-08-23 01:01:01,6.0,1.609047619047619,163,Cathy Spencer,Japan,Kakamigahara,122.71,29,2005-06-15 07:00:50,2006-02-14 15:16:03,4,122.71,1,Documentary,244
8,1,Academy Dinosaur,Documentary,7,21,33.79,2005-08-23 01:01:01,6.0,1.609047619047619,573,Byron Box,Kazakstan,Zhezqazghan,117.72,28,2005-06-16 06:55:10,2005-08-19 11:27:20,3,117.72,1,Documentary,64
9,1,Academy Dinosaur,Documentary,7,21,33.79,2005-08-23 01:01:01,6.0,1.609047619047619,540,Tyrone Asher,Bulgaria,Ruse,112.76,24,2005-06-15 06:56:39,2005-08-23 19:13:46,3,112.76,1,Documentary,69
